longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.7,33.5,4,7474,1037,2969,1007,8.7591,434700,<1H OCEAN
-122.08,37.82,4,2045,237,830,252,11.3421,500001,NEAR BAY
-118.24,33.9,39,642,129,475,123,1.2083,92600,<1H OCEAN
-118.36,34.04,49,995,184,462,194,2.7917,242000,<1H OCEAN
-117.24,32.8,26,3433,873,1492,798,2.9258,234800,NEAR OCEAN
-117.14,32.72,43,1073,344,660,279,2.0529,168800,NEAR OCEAN
-118.14,34.18,50,1493,326,1000,323,3.3068,154400,<1H OCEAN
-122.63,38.96,17,1708,459,633,312,1.75,64000,INLAND
-118.96,36.66,18,1302,424,320,133,3.1964,80000,INLAND
-122.27,37.56,5,4921,1179,1810,1073,5.6936,322200,NEAR BAY
-118.23,34.15,40,2124,370,998,372,5.3369,370400,<1H OCEAN
-117.89,33.68,8,5278,1575,2389,1371,3.3409,181300,<1H OCEAN
-118.32,33.99,49,1407,269,889,283,1.9779,114200,<1H OCEAN
-118.18,33.77,36,1833,688,1128,620,1.1483,112500,NEAR OCEAN
-117.47,33.98,8,12106,1913,5810,1717,4.9886,158100,INLAND
-122.27,37.32,37,2607,534,1346,507,5.3951,277700,NEAR OCEAN
-118.18,33.81,27,471,132,315,96,1.75,154200,NEAR OCEAN
-117.09,32.75,28,1220,391,1286,396,1.2286,105000,NEAR OCEAN
-121.85,37.38,12,12980,2568,8190,2515,5.2415,286500,<1H OCEAN
-121.32,38.61,22,3902,845,1870,763,2.774,190200,INLAND
-121.25,37.97,34,1288,344,846,293,1.7895,63100,INLAND
-117.93,33.84,23,2870,653,1680,598,3.2301,189900,<1H OCEAN
-117.13,34.88,21,3254,669,1548,545,2.3373,57100,INLAND
-118.14,33.95,36,1942,355,891,348,3.6635,282100,<1H OCEAN
-122.13,36.97,27,991,194,543,155,4.7188,350000,NEAR OCEAN
-118.06,34.06,28,2127,625,3160,620,2.5763,173900,<1H OCEAN
-122.27,37.86,52,1769,372,849,365,2.6914,218800,NEAR BAY
-118.47,34.19,41,1104,196,495,196,5.0929,225000,<1H OCEAN
-121.44,38.71,25,2336,406,1172,408,3.5129,101200,INLAND
-121.79,37.99,18,3646,534,1651,535,5.7321,164700,INLAND
-118.17,34.02,42,946,272,1191,261,2.45,132000,<1H OCEAN
-117.16,32.75,23,2474,594,1107,536,2.9705,245500,NEAR OCEAN
-118.29,34.1,39,2196,582,1165,538,2.9417,254200,<1H OCEAN
-122.6,38.11,23,8642,1294,3594,1253,5.3962,301500,<1H OCEAN
-121.99,37.81,17,465,83,146,75,4.9018,188500,<1H OCEAN
-117.91,33.78,26,4297,1037,3596,967,3.045,184000,<1H OCEAN
-121.21,37.8,45,370,84,167,70,1.4853,101800,INLAND
-121.25,38.03,29,2465,327,859,315,6.6605,220700,INLAND
-118.49,34.05,45,1346,214,415,209,7.0285,500001,<1H OCEAN
-117.67,33.63,9,5774,1320,3086,1265,4.4063,202200,<1H OCEAN
-118,33.67,34,3712,667,1521,632,4.8125,387800,<1H OCEAN
-117.37,33.99,44,917,224,666,220,1.685,114200,INLAND
-119.79,36.73,52,112,28,193,40,1.975,47500,INLAND
-121.29,38.13,20,3168,514,1390,490,5,154800,INLAND
-118.19,33.83,43,2641,411,1011,444,6.4468,444200,NEAR OCEAN
-120.16,34.61,17,921,189,434,219,3.0185,500001,NEAR OCEAN
-120.84,37.4,7,2773,530,1374,505,2.6214,103800,INLAND
-117.18,32.76,17,711,254,327,227,2.6493,67500,NEAR OCEAN
-117.08,33.14,19,2629,494,1444,503,3.5462,156800,<1H OCEAN
-122.24,37.85,37,334,54,98,47,4.9643,335000,NEAR BAY
-124.01,40.89,28,1470,336,811,314,2.4559,75600,<1H OCEAN
-122.96,40.77,29,1637,297,753,270,3.2891,93100,INLAND
-118.27,33.86,29,2587,489,2115,475,3.7466,168600,<1H OCEAN
-121.91,36.55,39,5468,834,1782,712,5.7248,398800,NEAR OCEAN
-121.96,37.71,6,8072,1050,3386,1062,7.2494,336500,<1H OCEAN
-118.18,34.1,8,1116,267,435,235,4.9231,230900,<1H OCEAN
-117.81,33.73,19,5471,1345,2828,1247,3.5719,252800,<1H OCEAN
-118.15,33.77,36,4366,1211,1912,1172,3.5292,361800,NEAR OCEAN
-122.23,37.48,38,1578,399,879,388,2.7969,298400,NEAR OCEAN
-121.98,38.37,21,3027,675,2018,642,2.8438,111500,INLAND
-121.7,37.96,33,2396,452,1391,465,3.2813,151400,INLAND
-117.33,33.67,27,4376,1003,2667,870,1.9194,100600,<1H OCEAN
-122.24,38.01,16,2084,315,1154,307,6.0102,235600,NEAR BAY
-121.98,37.36,34,1735,318,1019,301,4.5625,242700,<1H OCEAN
-121.47,38.52,26,2177,638,1971,560,1.2575,66800,INLAND
-117.89,33.61,42,1301,280,539,249,5,500001,<1H OCEAN
-117.76,33.79,4,8974,1268,3754,1241,8.2653,374000,<1H OCEAN
-122.41,37.75,52,1892,415,1442,371,4.2891,230000,NEAR BAY
-118.17,34.04,46,705,167,655,149,3.5938,141100,<1H OCEAN
-119.1,35.33,4,6640,898,3121,902,6.759,170300,INLAND
-121.6,36.88,21,3416,624,1862,595,4.7813,241500,<1H OCEAN
-119.35,36.21,26,2481,586,1445,498,1.6378,60300,INLAND
-118.33,34.04,52,2545,401,1004,372,3.6373,420000,<1H OCEAN
-117.95,33.82,35,1117,181,496,168,4.3269,224700,<1H OCEAN
-122.15,37.47,38,1560,301,1331,316,3.0521,151500,NEAR BAY
-121.79,39.48,39,1105,180,408,166,3.3929,82100,INLAND
-120.44,34.96,34,1248,284,986,272,2.9167,104200,<1H OCEAN
-118.39,33.97,44,1097,186,513,185,6.235,361400,<1H OCEAN
-122.42,37.78,52,1254,469,895,456,2.1516,187500,NEAR BAY
-117.2,32.85,22,3501,631,1297,581,4.7891,295300,NEAR OCEAN
-117.89,33.82,24,1268,210,700,224,5.0605,216200,<1H OCEAN
-121.82,39.72,42,2978,694,1879,679,1.5064,66300,INLAND
-117.84,35.54,11,1751,316,765,296,5.0762,98000,INLAND
-117.91,33.83,9,1160,368,735,325,1.119,175000,<1H OCEAN
-118.39,34.05,25,2814,701,1139,658,4.0153,460000,<1H OCEAN
-117.08,32.68,19,3635,1078,3127,1098,1.324,122600,NEAR OCEAN
-122.05,37.9,32,2676,484,986,473,4.6528,335700,NEAR BAY
-117.2,34.15,18,1859,251,747,256,7.732,173200,INLAND
-122.08,37.93,35,4043,689,1832,662,5.0761,233200,NEAR BAY
-121.38,38.68,35,1643,298,831,305,4.0673,84200,INLAND
-124.16,40.95,20,1075,214,529,196,3.1406,96000,NEAR OCEAN
-124.15,40.59,39,1186,238,539,212,2.0938,79600,NEAR OCEAN
-118.43,34.01,41,1527,279,746,285,6.4232,446600,<1H OCEAN
-117.84,34.1,17,7836,1624,4419,1526,3.8465,180700,<1H OCEAN
-123.78,40.05,17,2019,496,899,347,2.1864,101900,<1H OCEAN
-121,37.26,45,1750,371,847,354,1.7062,77400,INLAND
-117.89,33.61,44,2126,423,745,332,5.1923,500001,<1H OCEAN
-117.89,33.88,27,2091,336,1037,332,5.7519,243400,<1H OCEAN
-117.02,32.73,22,5201,865,3280,817,4.7952,141400,NEAR OCEAN
-117.99,33.69,17,3386,729,1715,666,3.7479,213000,<1H OCEAN
-117.26,32.95,15,1036,149,395,157,5.8343,500001,NEAR OCEAN
-118.72,34.29,22,3266,529,1595,494,6.0368,248000,<1H OCEAN
-122.14,37.47,36,2081,412,1931,373,3.7917,160600,NEAR BAY
-121.37,38.39,15,1883,254,893,256,6.2575,143500,INLAND
-118.34,34.09,37,1442,501,998,503,2.4432,200000,<1H OCEAN
-118.28,33.99,52,1283,342,1363,329,2.5848,101900,<1H OCEAN
-117.27,33.03,19,2899,499,1356,512,4.87,220900,NEAR OCEAN
-117.17,34.28,13,4867,718,780,250,7.1997,253800,INLAND
-118.33,34,24,873,320,529,308,0.9304,151600,<1H OCEAN
-122.34,37.95,44,1788,368,933,329,2.875,133400,NEAR BAY
-121.45,36.86,11,1613,335,1617,342,3.1375,146200,INLAND
-118.37,33.87,13,2907,726,1573,694,3.5048,294000,<1H OCEAN
-118.25,33.93,42,819,233,899,228,1.1346,85400,<1H OCEAN
-117.14,33.39,17,2889,587,1931,510,3.8547,208300,<1H OCEAN
-122.31,37.56,45,1685,321,815,314,4.2955,309700,NEAR OCEAN
-118.22,33.92,23,926,409,1856,408,2.1366,100000,<1H OCEAN
-122.13,37.47,25,1630,353,1546,371,5.0893,173400,NEAR BAY
-118.27,33.92,36,1465,346,1147,324,1.7262,88800,<1H OCEAN
-122.68,38.43,29,488,63,161,62,6.0774,334400,<1H OCEAN
-118.26,33.94,41,1510,410,1408,389,1.65,94200,<1H OCEAN
-121.71,38.72,32,710,155,550,154,2.8882,151400,INLAND
-117.66,34.12,22,2272,278,933,305,8.8204,390500,INLAND
-122.04,37,52,3365,644,796,333,2.9712,116600,NEAR OCEAN
-118.21,34.07,31,1453,404,1486,389,2.3859,153100,<1H OCEAN
-121.78,37.69,34,2358,498,1157,461,3.3618,174600,INLAND
-120.06,37.02,13,6301,1080,3840,1033,3.5258,84900,INLAND
-116.97,32.81,19,1573,471,844,414,2.1422,125000,<1H OCEAN
-117.22,33.22,15,1430,343,704,322,1.9571,162500,<1H OCEAN
-122.25,37.48,45,2743,390,974,400,7.1621,500001,NEAR OCEAN
-118.27,33.98,45,1696,424,1502,429,1.3042,99200,<1H OCEAN
-122.07,37.37,22,3770,727,1657,762,4.8021,457500,NEAR BAY
-122.44,37.79,52,2045,353,722,327,8.0755,500001,NEAR BAY
-122.94,38.53,49,1141,239,505,184,3.7143,148800,<1H OCEAN
-117.73,34.07,33,1025,261,854,269,2.2596,119400,INLAND
-121.94,37.33,34,1809,317,863,302,4.3,330500,<1H OCEAN
-119.77,36.77,38,3065,658,1441,625,2.0564,64700,INLAND
-117.88,33.71,27,1596,297,1703,289,4.1,184900,<1H OCEAN
-123.82,40.12,33,2985,591,1221,486,2.087,82400,<1H OCEAN
-122.53,37.89,35,4127,689,1596,707,5.9073,400400,NEAR BAY
-122.03,37.28,29,3752,468,1320,471,9.8937,500001,<1H OCEAN
-119.7,36.32,40,1178,244,586,187,2.6477,43500,INLAND
-116.53,33.85,16,10077,2186,3048,1337,2.9647,110900,INLAND
-119.02,35.35,42,1239,251,776,272,1.983,63300,INLAND
-122.49,37.76,52,2564,502,1092,459,3.5302,329600,NEAR BAY
-121.3,38.58,29,2748,563,1619,525,2.8966,92400,INLAND
-118.32,34.13,34,1856,273,540,264,4.0833,500001,<1H OCEAN
-119.77,36.91,3,7520,1143,2878,1077,5.3272,174200,INLAND
-122.6,38.11,19,1752,328,873,336,3.8068,201600,<1H OCEAN
-118.2,33.77,40,2034,899,1257,797,1.2864,131300,NEAR OCEAN
-117.94,33.81,26,1589,259,735,315,4.5714,243200,<1H OCEAN
-116.67,32.97,16,349,74,120,43,5.359,193800,<1H OCEAN
-118.36,34.16,43,2850,709,1510,670,2.4835,274300,<1H OCEAN
-118.01,33.77,32,1771,296,995,272,5.8362,217500,<1H OCEAN
-121.8,38.01,46,2273,495,1088,447,2.2532,109400,INLAND
-118.07,33.86,28,1789,352,1347,330,3.425,189700,<1H OCEAN
-117.99,33.82,21,2281,557,1510,460,2.8625,189600,<1H OCEAN
-121.43,38.58,35,5298,954,1933,918,3.9167,155700,INLAND
-118.09,33.9,33,3326,720,2533,689,3.1441,176300,<1H OCEAN
-120.7,35.28,14,3768,682,1884,664,4.6071,239900,NEAR OCEAN
-118.25,34.01,30,962,291,1280,263,1.4464,110200,<1H OCEAN
-118.36,33.93,44,520,116,392,106,3.0132,202500,<1H OCEAN
-118.33,33.99,46,1582,315,777,286,3.2083,149600,<1H OCEAN
-118.13,33.82,37,1530,290,711,283,5.1795,225400,<1H OCEAN
-122.2,37.8,43,3045,499,1115,455,4.9559,273000,NEAR BAY
-118.63,34.24,9,4759,924,1884,915,4.8333,277200,<1H OCEAN
-123.73,39.17,20,4620,1042,1745,794,2.375,158800,NEAR OCEAN
-119.61,36.57,42,2242,521,1359,483,1.5833,65100,INLAND
-117.14,32.72,42,1558,458,1227,407,2.2804,139100,NEAR OCEAN
-117.25,33.37,8,1755,530,1687,511,1.995,146900,<1H OCEAN
-120.54,38.75,9,3006,540,1102,418,3.9812,136600,INLAND
-122.02,37.84,34,1879,265,729,263,7.7072,443800,NEAR BAY
-119.79,36.79,19,1524,448,960,386,1.5122,47500,INLAND
-122.44,37.78,52,2695,657,1243,573,2.8569,372200,NEAR BAY
-119.81,36.7,52,314,57,178,66,1.2404,52500,INLAND
-122.64,41.74,33,2644,459,1113,483,3.3095,81300,INLAND
-118.14,33.91,34,2011,472,1087,423,3.0465,187800,<1H OCEAN
-120.39,34.52,40,2162,395,1010,332,2.5667,239300,NEAR OCEAN
-122.72,38.44,52,188,62,301,72,0.9437,129200,<1H OCEAN
-124.17,40.75,13,2171,339,951,353,4.8516,116100,NEAR OCEAN
-117.66,33.61,21,1932,266,860,286,7.1497,274000,<1H OCEAN
-121.07,39.15,15,6828,1319,3002,1318,2.4726,143400,INLAND
-122.52,38.7,26,102,17,43,13,0.536,87500,INLAND
-121.98,37.53,28,2829,566,1610,540,4.6,223200,<1H OCEAN
-118.11,33.83,36,1820,313,899,295,4.918,225200,<1H OCEAN
-122.23,37.8,52,783,184,488,186,1.9375,126600,NEAR BAY
-117.85,33.9,25,1548,256,811,263,5.2037,242200,<1H OCEAN
-122.53,37.94,18,878,255,384,247,4.7344,200000,NEAR BAY
-124.21,41.77,17,3461,722,1947,647,2.5795,68400,NEAR OCEAN
-118.32,34.02,51,2010,460,1355,433,2.0304,133400,<1H OCEAN
-118.02,33.95,36,1705,299,871,296,4.6184,179800,<1H OCEAN
-118.7,35.82,20,4642,1300,658,247,2.3937,82100,INLAND
-117.24,32.74,44,1686,285,712,298,4.0268,298600,NEAR OCEAN
-118.37,33.95,5,6955,2062,3591,1566,3.111,247600,<1H OCEAN
-121.98,37.97,26,2714,390,1232,409,5.9617,231100,INLAND
-121.88,36.98,21,4117,752,2001,763,4.8953,289500,NEAR OCEAN
-116.84,32.92,20,1066,219,536,173,3.1607,119300,<1H OCEAN
-117.89,34.07,35,1439,261,804,271,3.9808,188600,<1H OCEAN
-120.94,37.59,16,3964,824,2622,766,2.3152,111300,INLAND
-120.3,38.9,11,1961,435,113,53,0.9227,95500,INLAND
-118.3,34.17,37,350,115,342,111,3.0687,200000,<1H OCEAN
-118.12,33.92,27,6336,1628,4673,1505,2.5893,183700,<1H OCEAN
-122.56,41.69,21,2010,360,947,306,2.4107,70100,INLAND
-118.4,34.22,43,1220,222,729,230,3.6442,186300,<1H OCEAN
-122.45,37.76,51,2564,457,810,442,5.6235,500001,NEAR BAY
-121.22,38.92,19,2531,461,1206,429,4.4958,192600,INLAND
-118.21,33.93,30,2831,862,3649,883,1.9668,152100,<1H OCEAN
-117.2,33.15,11,4091,864,1927,765,3.0139,199000,<1H OCEAN
-121.47,38.72,26,1708,299,911,290,4.0227,99800,INLAND
-122.33,41.86,19,3599,695,1572,601,2.234,58600,INLAND
-118.25,34.15,15,3712,1005,1888,890,3.6875,209600,<1H OCEAN
-121.22,37.93,21,336,68,206,73,4.75,121400,INLAND
-117.98,33.8,35,2114,341,1077,343,5.4876,227500,<1H OCEAN
-121.44,38.63,33,1077,271,753,236,1.3462,55900,INLAND
-118.21,34.08,26,2574,807,3163,802,1.9495,173200,<1H OCEAN
-118.35,33.91,32,1660,366,928,398,4.3187,269700,<1H OCEAN
-117.01,32.99,8,3372,430,1536,448,8.4284,378300,<1H OCEAN
-118.15,33.98,37,1184,290,1320,276,2.3,165600,<1H OCEAN
-118.13,33.79,20,6678,1797,3625,1599,3.7716,242900,NEAR OCEAN
-119.7,34.41,19,2086,575,1701,530,2.8042,236100,NEAR OCEAN
-118.62,34.17,34,3268,538,1463,519,6.8482,308300,<1H OCEAN
-118.1,33.83,36,2000,343,956,352,5.3735,234400,<1H OCEAN
-118.36,33.88,28,1313,319,827,308,2.65,260800,<1H OCEAN
-118.07,34.07,19,1554,393,1427,370,3.125,207100,<1H OCEAN
-119.79,36.76,52,1185,260,635,239,1.175,56100,INLAND
-119.33,36.22,29,1735,323,805,293,3.5039,89900,INLAND
-122.38,40.2,16,2722,511,1366,495,2.8447,87700,INLAND
-118.05,34.08,34,572,154,752,182,2.0433,138800,<1H OCEAN
-124.1,40.88,35,2987,578,1581,585,2.0657,81100,NEAR OCEAN
-122.44,37.66,21,5108,1510,3288,1405,3.1927,252600,NEAR OCEAN
-122,38.25,7,11768,1893,6657,1874,4.9222,142900,INLAND
-121.76,41.5,31,602,153,112,47,1.0667,34200,INLAND
-122.29,37.56,34,1693,281,846,291,5.3683,339400,NEAR BAY
-118.22,34.04,43,798,308,1417,325,1.4189,141700,<1H OCEAN
-118.35,34.1,16,2930,1038,1648,980,2.6458,372200,<1H OCEAN
-122.48,38.32,42,2106,533,1141,445,3.1129,149300,<1H OCEAN
-119.19,34.16,34,2610,466,1543,433,3.9722,189000,NEAR OCEAN
-116.37,33.72,19,6190,1355,2242,1043,3.0021,152300,INLAND
-118.38,33.87,17,2791,579,1467,583,5.7415,321900,<1H OCEAN
-118.29,34.11,49,2850,379,1113,380,12.9591,500001,<1H OCEAN
-119.2,34.19,19,9503,1769,6370,1718,5.0016,218500,NEAR OCEAN
-121.97,37.54,31,1949,344,986,322,4.6349,196200,<1H OCEAN
-120.97,38.42,16,1748,322,4930,287,4.3029,121900,INLAND
-117.26,32.95,34,1651,273,650,271,5.6582,500001,NEAR OCEAN
-118.26,33.97,46,1521,352,1100,334,1.55,100600,<1H OCEAN
-116.3,33.68,10,2387,481,863,304,2.8882,137500,INLAND
-119.64,36.56,34,576,117,363,97,2.0658,92500,INLAND
-117.71,34.15,17,17715,2370,7665,2312,7.9068,349100,INLAND
-122.09,37.37,27,1269,186,464,182,6.8374,500001,NEAR BAY
-119.8,34.43,22,2845,500,1456,454,5.6604,276400,NEAR OCEAN
-122.45,37.67,35,491,98,274,97,4.4286,238600,NEAR OCEAN
-122.02,37.01,20,1005,138,345,129,10.0968,500001,NEAR OCEAN
-117.29,34.09,24,1451,387,1178,330,1.1806,68300,INLAND
-119.76,36.75,35,1607,383,1407,382,2.19,53400,INLAND
-118.43,34.17,34,2180,424,906,429,4.4464,353100,<1H OCEAN
-122.86,38.44,31,1534,292,716,288,3.4471,209500,<1H OCEAN
-117.15,32.91,14,1259,238,889,247,4.9464,174800,<1H OCEAN
-118.51,34.3,24,6145,868,2710,875,7.5078,344000,<1H OCEAN
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND
-117.83,33.75,22,6433,1174,2703,1125,4.9957,296400,<1H OCEAN
-117.06,32.79,21,3787,492,1246,457,9.6023,391300,<1H OCEAN
-122.03,37.35,19,3811,1227,1930,1153,3.5154,311400,<1H OCEAN
-117.87,34.08,33,4518,716,2037,764,5.6015,267200,<1H OCEAN
-117.91,33.82,32,1408,307,1331,284,3.7014,179600,<1H OCEAN
-118.23,33.95,43,1683,520,2190,494,2.2391,152800,<1H OCEAN
-122.04,37.53,25,4458,922,2998,890,3.9667,218500,NEAR BAY
-117.97,33.86,34,2138,490,1682,463,3.6006,161700,<1H OCEAN
-117.99,33.78,19,7399,1698,3554,1593,3.1049,173900,<1H OCEAN
-122.14,38.05,27,3794,772,1756,724,3.2891,150600,NEAR BAY
-121.89,38.01,32,1000,188,663,212,4.0972,99200,INLAND
-114.58,33.63,29,1387,236,671,239,3.3438,74000,INLAND
-122.14,37.76,34,1513,231,545,211,5.5701,252800,NEAR BAY
-117.95,34.07,37,1987,399,1279,378,4.1172,176500,<1H OCEAN
-122.74,38.44,23,2819,612,1644,546,2.6576,147900,<1H OCEAN
-121.93,37.7,3,2456,582,793,456,4.4087,225600,<1H OCEAN
-119.34,36.34,5,4505,834,1917,775,4.0144,126600,INLAND
-121.36,39.52,15,2490,527,1229,497,2.3917,85700,INLAND
-119.01,35.35,39,598,149,366,132,1.9125,57900,INLAND
-119.72,36.71,7,2456,463,1350,424,3.0179,91600,INLAND
-122.13,37.44,38,2835,447,1148,446,5.9277,446600,NEAR BAY
-119.69,36.69,36,1432,269,836,237,2.1563,88300,INLAND
-118.59,34.11,35,2396,472,1054,457,6.4504,407000,<1H OCEAN
-118.24,33.98,37,1196,364,1622,327,2.125,108900,<1H OCEAN
-118.43,33.96,20,1901,270,704,254,8.7819,500001,<1H OCEAN
-117.24,32.71,32,4164,701,1277,607,6.6661,500001,NEAR OCEAN
-120.99,37.68,30,1975,375,732,326,2.6932,94900,INLAND
-116.86,32.8,19,1747,291,848,290,4.875,187200,<1H OCEAN
-117.12,32.96,15,2869,405,1526,402,6.0175,238300,<1H OCEAN
-118.5,34.02,35,2914,934,1334,870,2.9934,350000,<1H OCEAN
-117.24,32.94,12,2165,437,792,386,5.2648,294400,NEAR OCEAN
-121.94,38.35,8,3157,559,1758,569,4.412,140100,INLAND
-118.19,33.99,40,1547,434,1930,427,3.3869,157300,<1H OCEAN
-117.98,33.71,24,2308,464,1101,407,4.4766,230000,<1H OCEAN
-121.9,37.4,16,2998,603,1606,615,3.7622,150000,<1H OCEAN
-122.47,37.78,52,2275,412,1166,424,4.0652,421300,NEAR BAY
-122.13,37.15,39,2854,613,1338,518,3.9423,180300,NEAR OCEAN
-117.9,33.73,31,1171,306,1690,301,3.2639,155200,<1H OCEAN
-122.42,37.79,52,2511,895,1202,804,2.6607,87500,NEAR BAY
-118.46,34.23,16,6338,1768,4718,1632,3.0187,154600,<1H OCEAN
-117.97,33.82,26,4013,985,2442,922,3.7655,197700,<1H OCEAN
-118.44,34,41,1562,377,874,368,4.1083,324300,<1H OCEAN
-118.24,34.02,48,542,150,571,114,1.8485,90600,<1H OCEAN
-118.74,34.28,21,4056,637,1974,634,5.9024,221000,<1H OCEAN
-118.12,33.95,35,1604,280,802,280,5.752,291000,<1H OCEAN
-121.96,37.34,34,1461,299,739,276,3.4375,252600,<1H OCEAN
-118.33,34,52,1114,169,486,176,4.2917,247600,<1H OCEAN
-118.27,33.89,32,1969,397,1349,370,4.4659,138100,<1H OCEAN
-118.22,34.22,39,2686,417,1094,402,7.0059,500001,<1H OCEAN
-119.67,34.44,32,3202,537,1316,538,5.2888,463800,<1H OCEAN
-118.46,33.99,44,1122,287,531,256,4.0598,335900,<1H OCEAN
-118.35,33.91,28,2108,534,1485,536,4.0775,241400,<1H OCEAN
-120.96,37.67,17,2434,511,1558,546,2.9219,114300,INLAND
-119.4,37.09,22,2211,477,773,288,3.3269,102700,INLAND
-120.7,36.99,32,320,73,222,78,2.9271,87500,INLAND
-118.31,33.84,52,1819,464,1068,424,3.625,270700,<1H OCEAN
-118.1,34.07,29,1179,313,1255,308,2.5964,176800,<1H OCEAN
-117.28,34.12,36,2991,822,2378,751,1.3571,70600,INLAND
-117.17,34.05,24,2877,507,1141,474,4.2059,121500,INLAND
-119.24,34.27,32,4071,888,1900,874,3.2792,220500,NEAR OCEAN
-118.09,34.12,45,2966,415,1231,409,7.8347,500001,<1H OCEAN
-118.29,33.96,39,1340,409,1463,367,1.5294,111400,<1H OCEAN
-118.22,33.96,42,1380,331,1290,288,2.8,161800,<1H OCEAN
-117.32,34.03,13,3853,761,1685,669,3.9024,122400,INLAND
-122.49,37.99,27,5470,755,1916,764,6.994,420800,NEAR BAY
-118.52,34.26,21,8850,2139,4717,1979,3.7816,254200,<1H OCEAN
-117.23,32.75,23,2415,653,1275,596,3.1389,101800,NEAR OCEAN
